phrase,appear times
pros and cons,568613
in vitro,489892
status quo,479888
vice versa,470239
per capita,398836
in vivo,381216
per annum,304523
per se,304428
de facto,249721
ad hoc,228545
in situ,222052
in fine,219534
bona fide,155643
pro bono,145351
alma mater,120259
inter alia,95277
in retrospect,94032
de novo,85448
curriculum vitae,81480
a priori,78394
a cappella,71445
prima facie,67943
alter ego,61485
et cetera,60025
modus operandi,56629
in camera,48210
per diem,46730
pro forma,44594
pro rata,43254
habeas corpus,39740
in utero,37342
ex vivo,36205
post hoc,30245
magnum opus,29794
pro se,29263
ex parte,28697
ad valorem,28590
in silico,28450
spina bifida,28210
post mortem,24963
quid pro quo,22755
ex officio,21947
ab initio,21864
ad hominem,21776
in pace,21107
in absentia,19806
de minimis,19357
ad infinitum,18797
ad litem,18552
amicus curiae,18402
aurora borealis,17550
de jure,16926
ex post,16516
sine qua non,16128
ad nauseam,15739
sui generis,14431
homo sapiens,13941
locum tenens,13914
corpus callosum,13846
ad libitum,13210
in re,12172
substantia nigra,11876
res judicata,11712
inter partes,11217
ex ante,11173
terra firma,11061
a posteriori,10695
mea culpa,10683
post partum,10596
ipso facto,10373
per centum,10313
mutatis mutandis,9949
camera obscura,9812
pro tempore,8552
persona non grata,8235
in rem,8129
per curiam,8009
in toto,7942
deus ex machina,7883
pro tem,7777
ultra vires,7515
gluteus maximus,7514
foramen ovale,7477
ex post facto,7346
mens rea,7296
ex nihilo,7087
in memoriam,6657
non sequitur,6648
caveat emptor,6478
corpus christi,6438
in limine,6421
ex situ,6351
via media,6204
materia medica,6178
dura mater,5994
tabula rasa,5881
in loco,5797
sanctum sanctorum,5613
honoris causa,5593
juris doctor,5534
carpe diem,5238
stare decisis,5237
viva voce,5221
corpus luteum,5218
in extremis,5156
nolo contendere,5155
memento mori,5072
ceteris paribus,5064
sua sponte,5056
pari passu,4836
inter vivos,4706
in forma pauperis,4500
ad absurdum,4378
suo motu,4328
globus pallidus,4325
delirium tremens,4204
sensu lato,4091
rigor mortis,4052
sola scriptura,4007
in vacuo,4001
status quo ante,3975
aqua regia,3965
a fortiori,3962
modus vivendi,3798
in loco parentis,3736
sensu stricto,3724
pro hac vice,3665
sine die,3636
foramen magnum,3608
in personam,3445
pendente lite,3340
casus belli,3333
terra incognita,3222
reductio ad absurdum,3140
locus standi,3043
ad interim,2917
dramatis personae,2893
respondeat superior,2877
sub judice,2855
genius loci,2839
motu proprio,2772
ex cathedra,2624
in se,2584
quantum meruit,2566
ex gratia,2512
quo warranto,2506
actus reus,2479
in medias res,2235
mala fide,2187
in specie,2151
cantus firmus,2065
ne plus ultra,2020
cor pulmonale,1983
id est,1956
terra nullius,1925
sola fide,1922
res ipsa loquitur,1920
nunc pro tunc,1813
per mille,1731
et alia,1730
in flagrante,1727
annus horribilis,1718
inter se,1677
parens patriae,1630
pia mater,1575
ex libris,1568
vox populi,1539
per os,1516
in ovo,1506
jus ad bellum,1502
nolle prosequi,1495
in excelsis,1468
res publica,1461
et alii,1446
primus inter pares,1407
de re,1382
jus soli,1369
flagrante delicto,1361
propter hoc,1361
compos mentis,1349
sub rosa,1314
camera lucida,1305
jus in bello,1293
ex aequo,1154
pro tanto,1150
in flagrante delicto,1127
summum bonum,1119
modus ponens,1083
homo erectus,1073
corpus delicti,1065
jus sanguinis,1004
lignum vitae,1001
magna carta,982
ad limina,978
aurora australis,977
annus mirabilis,977
bis in die,940
in extenso,902
anno domini,902
cura personalis,891
obiter dicta,891
vade mecum,884
sui iuris,877
ratio decidendi,876
tu quoque,872
perpetuum mobile,847
locus classicus,835
ad alta,833
incertae sedis,828
nota bene,823
in futuro,811
malesuada fames,794
e pluribus unum,782
creatio ex nihilo,763
exempli gratia,761
aqua vitae,756
in terrorem,753
numerus clausus,732
erga omnes,729
cui bono,722
lex talionis,719
ejusdem generis,716
ipse dixit,714
opera omnia,713
sola gratia,708
dementia praecox,695
in natura,691
pater familias,678
in pari materia,677
horror vacui,672
obiter dictum,669
pontifex maximus,667
lex loci,665
editio princeps,658
ad astra,657
pacta sunt servanda,653
damnatio memoriae,631
ipso jure,617
in quarto,615
philosophia perennis,610
rara avis,603
ave maria,598
ex hypothesi,598
opus magnum,594
functus officio,588
non compos mentis,584
conditio sine qua non,583
ex tempore,581
in pari delicto,575
lex fori,566
vide infra,553
modus tollens,551
de fide,550
sede vacante,547
ars poetica,547
mirabile dictu,544
ante bellum,543
pro patria,533
bona vacantia,532
contra proferentem,524
opus sectile,516
de dicto,515
post factum,513
nomen nudum,512
ex opere operato,510
nolens volens,508
ne bis in idem,501
quo vadis,500
per caput,494
vel non,491
ars technica,478
non obstante,476
res gestae,473
lex scripta,464
semper reformanda,461
amor fati,458
res cogitans,456
primum non nocere,443
sub silentio,441
venia legendi,438
et passim,438
pro re nata,435
ora et labora,428
ex facie,426
tempus fugit,425
per incuriam,425
ante mortem,422
non plus ultra,419
res extensa,418
vide supra,415
propria persona,415
homo oeconomicus,413
ex voto,413
substantia gelatinosa,411
in nomine,409
in casu,408
corpus juris,406
cursus honorum,404
terminus ante quem,404
nihil obstat,403
ultima ratio,401
dulce et decorum est,399
jus gentium,389
petitio principii,383
ad idem,382
deo volente,382
homo sacer,379
opus est,379
a minima,379
textus receptus,378
sensus communis,378
ex more,378
uti possidetis,377
studium generale,377
